participant,participant_age,Image_ID,Image_actual_age,Image_age,Image_emotion,age_resp,age_resp_rt
705,19,Y_72F,25,young,neutral,33,2.27735
705,19,Y_75M,30,young,neutral,35,3.177705
705,19,O_23F,66,old,angry,56,2.74623
705,19,Y_38F,24,young,angry,36,3.79149
705,19,O_71M,65,old,neutral,65,3.1664
705,19,Y_46M,18,young,happy,35,2.98679
705,19,O_08M,65,old,angry,62,6.652125
705,19,Y_30M,25,young,happy,36,3.09258
705,19,O_47F,60,old,neutral,56,2.537985
705,19,Y_14F,21,young,angry,33,2.534205
705,19,O_64M,65,old,neutral,60,3.92009
705,19,O_65M,65,old,neutral,60,2.719545
705,19,Y_58M,22,young,neutral,32,2.149445
705,19,O_43F,62,old,happy,63,2.755155
705,19,O_21M,65,old,happy,68,4.15706
705,19,Y_12F,18,young,angry,34,3.134335
705,19,Y_71F,20,young,neutral,36,5.132425
705,19,Y_55M,24,young,neutral,31,2.665645
705,19,O_58M,64,old,happy,45,2.884655
705,19,Y_54M,26,young,happy,33,2.396605
705,19,Y_1M,19,young,angry,33,3.58729
705,19,Y_57M,23,young,neutral,30,3.086085
705,19,O_56F,65,old,neutral,56,2.486845
705,19,O_17M,69,old,angry,56,4.318285
705,19,O_10F,60,old,angry,45,3.021925
705,19,O_53F,64,old,neutral,54,2.98287
705,19,Y_11M,20,young,angry,32,3.517735
705,19,Y_28M,20,young,happy,33,2.15326
705,19,Y_6F,23,young,neutral,32,3.21853
705,19,O_34F,65,old,happy,54,2.829905
705,19,O_38F,65,old,happy,56,6.3315
705,19,Y_4F,19,young,happy,26,5.436455
705,19,O_40F,61,old,happy,64,4.18547
705,19,O_67M,61,old,neutral,62,4.13569
705,19,Y_66F,26,young,happy,30,3.05436
705,19,O_29F,63,old,angry,58,2.420505
705,19,Y_15M,20,young,angry,34,2.77068
705,19,Y_48F,23,young,happy,32,2.118065
705,19,O_50M,65,old,happy,60,3.303525
705,19,Y_27M,23,young,angry,34,2.904375
706,21,Y_57M,23,young,neutral,25,4.7588
706,21,O_50M,65,old,happy,60,4.2241
706,21,Y_40F,28,young,happy,34,8.7907
706,21,Y_17F,33,young,angry,34,5.3916
706,21,Y_69F,28,young,neutral,30,2.9274
706,21,O_53F,64,old,neutral,50,8.5079
706,21,Y_28M,20,young,happy,24,3.0602
706,21,O_71M,65,old,neutral,60,2.8939
706,21,O_48F,65,old,neutral,65,2.4942
706,21,Y_11M,20,young,angry,23,4.6265
706,21,Y_55M,24,young,neutral,25,2.6443
706,21,Y_1M,19,young,angry,24,3.0898
706,21,O_42M,75,old,happy,80,2.7733
706,21,O_38F,65,old,happy,60,2.4059
706,21,O_08M,65,old,angry,60,3.1566
706,21,O_29F,63,old,angry,65,4.7714
706,21,Y_27M,23,young,angry,25,3.6056
706,21,O_58M,64,old,happy,65,4.6706
706,21,O_56F,65,old,neutral,65,1.739
706,21,Y_30M,25,young,happy,40,4.2562
706,21,O_21M,65,old,happy,76,1.8393
706,21,Y_15M,20,young,angry,24,3.5392
706,21,O_64M,65,old,neutral,60,8.9198
706,21,Y_14F,21,young,angry,20,5.2587
706,21,Y_58M,22,young,neutral,19,2.944
706,21,O_10F,60,old,angry,34,2.7414
706,21,O_40F,61,old,happy,70,2.7776
706,21,Y_6F,23,young,neutral,26,3.9768
706,21,O_20M,65,old,angry,56,4.0768
706,21,Y_46M,18,young,happy,30,2.8438
706,21,Y_72F,25,young,neutral,28,3.9772
706,21,Y_48F,23,young,happy,26,2.3777
706,21,Y_4F,19,young,happy,24,2.1275
706,21,O_43F,62,old,happy,44,2.7942
706,21,O_23F,66,old,angry,56,1.8447
706,21,O_65M,65,old,neutral,67,1.6589
706,21,Y_75M,30,young,neutral,55,5.3309
706,21,Y_38F,24,young,angry,20,5.1594
706,21,O_47F,60,old,neutral,30,2.3445
706,21,Y_12F,18,young,angry,24,2.4917
706,21,O_34F,65,old,happy,56,3.876
706,21,O_17M,69,old,angry,56,1.9112
706,21,Y_54M,26,young,happy,30,5.5259
706,21,O_67M,61,old,neutral,56,4.5593
706,21,Y_71F,20,young,neutral,25,4.7766
706,21,O_28F,64,old,angry,76,2.1111
706,21,Y_66F,26,young,happy,25,2.1277
706,21,O_15M,69,old,angry,76,2.3938
707,21,Y_17F,33,young,angry,34,8.501095
707,21,Y_4F,19,young,happy,28,5.279535
707,21,Y_57M,23,young,neutral,37,5.747675
707,21,Y_55M,24,young,neutral,26,6.45772
707,21,O_53F,64,old,neutral,60,7.391285
707,21,Y_15M,20,young,angry,40,5.976645
707,21,Y_28M,20,young,happy,30,5.7127
707,21,O_10F,60,old,angry,48,7.12475
707,21,Y_38F,24,young,angry,27,9.192445
707,21,Y_69F,28,young,neutral,30,5.09369
707,21,O_71M,65,old,neutral,76,4.19108
707,21,O_34F,65,old,happy,58,4.742325
707,21,O_64M,65,old,neutral,67,4.86441
707,21,O_56F,65,old,neutral,65,3.9812
707,21,Y_66F,26,young,happy,36,6.48938
707,21,O_20M,65,old,angry,70,3.17899
707,21,O_38F,65,old,happy,68,3.43242
707,21,Y_30M,25,young,happy,40,8.872245
